Grupo que inclui o Aluno com o Nº 57812
MEIO-TP1 - Numero de unidades de artigos compradas por cada cliente
Numero/Frequencia
1	93
2	73
3	87
4	90
5	79
6	83
7	85
8	85
9	100
10	101
11	91
12	115
13	67
14	82
15	91
16	90
17	97
18	99
19	117
20	107
21	114
22	137
23	146
24	139
25	149
26	157
27	162
28	155
29	163
30	170
31	183
32	190
33	181
34	210
35	211
36	206
37	207
38	205
39	240
40	186
41	254
42	234
43	248
44	225
45	206
46	229
47	196
48	206
49	198
50	181
51	191
52	153
53	176
54	161
55	145
56	175
57	152
58	127
59	140
60	147
61	138
62	115
63	114
64	115
65	110
66	79
67	108
68	98
69	83
70	67
71	72
72	72
73	60
74	55
75+	244
